Date,Price,Open,High,Low,Vol.,Change %
10/27/2022,53.7,53.91,54,53.7,140.83M,0.66%
10/26/2022,53.35,52.95,53.5,52.77,28.07M,1.08%
10/25/2022,52.78,52.4,53.18,52.2,34.74M,2.45%
10/24/2022,51.52,50.71,51.86,50.52,22.55M,3.27%
10/21/2022,49.89,50.06,50.72,49.6,51.21M,-4.86%
10/20/2022,52.44,52.2,52.7,51.6,25.46M,1.18%
10/19/2022,51.83,51.8,52.16,51.26,10.06M,0.10%
10/18/2022,51.78,51.1,52.1,50.85,18.45M,2.05%
10/17/2022,50.74,50.5,50.9,50.2,14.10M,0.57%
10/14/2022,50.45,50.49,50.87,50.3,10.08M,0.22%
10/13/2022,50.34,49.8,51.07,49.52,18.18M,0.80%
10/12/2022,49.94,50.01,50.5,49.81,11.83M,-0.26%
10/11/2022,50.07,50.03,50.55,49.81,11.52M,-0.58%
10/10/2022,50.36,49.66,50.86,49.5,22.20M,2.40%
10/07/2022,49.18,49.03,49.49,48.16,32.63M,-0.43%
10/06/2022,49.39,50.98,51.55,49.29,65.25M,-3.72%
10/05/2022,51.3,50.26,52,50.2,74.56M,-1.35%
10/04/2022,52,42.81,52.3,42.55,47.37M,22.24%
10/03/2022,42.54,43.9,43.9,42.23,13.14M,-2.97%
09/30/2022,43.84,42.82,44.62,42.81,25.89M,2.57%
09/29/2022,42.74,43,43.17,42.39,8.72M,-1.18%
09/28/2022,43.25,42.59,43.53,42.38,12.83M,2.76%
09/27/2022,42.09,41.74,42.18,41.28,7.91M,1.37%
09/26/2022,41.52,41.5,43.52,40.66,23.92M,-0.14%
09/23/2022,41.58,41.48,41.77,40.85,9.14M,0.43%
09/22/2022,41.4,41.39,41.77,41.25,5.87M,0.32%
09/21/2022,41.27,41.79,42.19,41.27,7.00M,-0.98%
09/20/2022,41.68,41.44,42.11,40.93,7.22M,0.05%
09/19/2022,41.66,41.4,41.74,41.21,6.88M,0.51%
09/16/2022,41.45,41.83,41.95,41.25,26.47M,-1.64%
09/15/2022,42.14,41.75,42.44,41.5,9.19M,0.57%
09/14/2022,41.9,41.75,41.91,41.25,8.07M,0.38%
09/13/2022,41.74,40.76,42.47,40.47,14.17M,0.80%
09/12/2022,41.41,41.81,41.9,41.25,7.43M,-1.85%
09/09/2022,42.19,41.87,42.27,41.51,7.42M,0.81%
09/08/2022,41.85,41,42.17,40.98,11.73M,1.58%
09/07/2022,41.2,39.3,41.25,39.3,16.91M,6.60%
09/06/2022,38.65,38.62,39.09,38.06,10.95M,0.05%
09/02/2022,38.63,38.86,39.01,38.29,7.93M,0.03%
09/01/2022,38.62,38.64,38.92,38.44,8.61M,-0.34%
08/31/2022,38.75,39.98,40.05,38.6,16.79M,-1.45%
08/30/2022,39.32,39.87,40.09,39.07,9.58M,-1.80%
08/29/2022,40.04,40.22,40.6,39.99,6.66M,-1.04%
08/26/2022,40.46,41.15,41.2,40.23,10.14M,-1.44%
08/25/2022,41.05,40.5,41.49,40.17,10.31M,0.64%
08/24/2022,40.79,39.28,40.99,38.77,17.00M,2.33%
08/23/2022,39.86,41.36,41.94,39.85,26.04M,-7.32%
08/22/2022,43.01,43.5,43.66,42.81,7.87M,-2.23%
08/19/2022,43.99,43.52,44.01,43.35,8.10M,0.30%
08/18/2022,43.86,44.12,44.44,43.81,6.28M,-0.30%
08/17/2022,43.99,44.25,44.51,43.85,6.11M,-0.92%
08/16/2022,44.4,44.34,45,44.24,7.92M,-0.22%
08/15/2022,44.5,44.19,44.78,43.96,7.91M,0.54%
08/12/2022,44.26,44.01,44.6,43.99,7.86M,0.73%
08/11/2022,43.94,44.37,44.63,43.63,7.20M,-1.10%
08/10/2022,44.43,44.52,44.65,43.83,14.51M,3.74%
08/09/2022,42.83,42.78,43.12,42.6,8.31M,-0.26%
08/08/2022,42.94,42.94,43.54,42.87,8.13M,0.99%
08/05/2022,42.52,40.81,42.66,40.6,16.05M,3.56%
08/04/2022,41.06,41,41.23,40.55,6.14M,0.15%
08/03/2022,41,41,41.39,40.89,9.27M,0.05%
08/02/2022,40.98,40.75,41.27,40.65,5.24M,0.22%
08/01/2022,40.89,41.12,41.35,40.46,14.09M,-1.73%
07/29/2022,41.61,40.8,41.78,40.75,11.79M,1.76%
07/28/2022,40.89,39.76,40.9,39.58,10.03M,2.61%
07/27/2022,39.85,39.58,40.11,39.13,11.49M,1.30%
07/26/2022,39.34,39.08,39.53,38.89,12.55M,0.25%
07/25/2022,39.24,39.23,39.6,38.74,10.33M,-1.51%
07/22/2022,39.84,38.9,40.18,38.71,25.19M,0.81%
07/21/2022,39.52,39.5,40.1,39.12,10.94M,-0.20%
07/20/2022,39.6,39.56,40.01,38.82,13.88M,0.28%
07/19/2022,39.49,38.51,40.5,38.5,37.26M,2.81%
07/18/2022,38.41,37.58,38.76,37.34,15.00M,1.78%
07/15/2022,37.74,36.62,37.77,36.27,14.81M,4.00%
07/14/2022,36.29,36.59,37.1,36.19,18.65M,-1.25%
07/13/2022,36.75,34.95,37.16,34.8,48.60M,7.90%
07/12/2022,34.06,32.76,34.39,32.52,27.71M,4.32%
07/11/2022,32.65,34.6,34.9,32.55,65.91M,-11.30%
07/08/2022,36.81,37.51,37.55,36.8,29.82M,-5.10%
07/07/2022,38.79,38.32,39.51,38.32,11.01M,1.52%
07/06/2022,38.21,38.21,38.45,37.74,4.85M,-0.44%
07/05/2022,38.38,38.18,38.64,37.25,8.12M,0.39%
07/01/2022,38.23,37.38,38.24,37.08,6.31M,2.25%
06/30/2022,37.39,37.53,38.02,36.99,7.07M,-1.08%
06/29/2022,37.8,38.76,38.78,37.64,6.87M,-2.55%
06/28/2022,38.79,39.21,39.71,38.65,5.99M,-1.02%
06/27/2022,39.19,39.67,39.88,38.9,7.12M,-0.56%
06/24/2022,39.41,39.01,39.92,38.87,18.09M,1.89%
06/23/2022,38.68,38.76,39.08,38.25,6.22M,0.39%
06/22/2022,38.53,38.57,39.34,38.41,10.68M,-0.98%
06/21/2022,38.91,38.19,39.08,37.65,16.75M,2.99%
06/17/2022,37.78,37.32,38.05,37.02,25.05M,1.12%
06/16/2022,37.36,38.61,38.71,36.96,20.73M,-1.66%
06/15/2022,37.99,37.5,38.51,37.24,14.30M,2.07%
06/14/2022,37.22,37.95,38.87,37.19,13.02M,0.51%
06/13/2022,37.03,38,38.58,36.9,11.48M,-5.00%
06/10/2022,38.98,39.52,39.63,38.89,10.53M,-1.39%
06/09/2022,39.53,40.25,40.54,39.53,7.93M,-2.25%
06/08/2022,40.44,39.96,41.29,39.83,15.29M,0.77%
06/07/2022,40.13,39.08,40.24,38.95,15.62M,1.44%
06/06/2022,39.56,38.16,39.94,37.91,26.12M,-1.49%
06/03/2022,40.16,40.45,41.04,39.97,18.27M,0.63%
06/02/2022,39.91,39.07,40.47,38.81,11.58M,1.55%
06/01/2022,39.3,39.8,40.26,39.24,11.08M,-0.76%
05/31/2022,39.6,40.07,40.35,39.42,11.58M,-1.42%
05/27/2022,40.17,39.57,40.77,39.48,16.79M,1.64%
05/26/2022,39.52,38.52,39.59,38.23,22.97M,6.35%
05/25/2022,37.16,36.06,37.37,36.02,18.50M,3.91%
05/24/2022,35.76,36.94,37.2,35.4,21.93M,-5.55%
05/23/2022,37.86,37.77,38,36.94,12.87M,-1.12%
05/20/2022,38.29,37.77,38.31,36.75,23.64M,2.68%
05/19/2022,37.29,36.76,38.5,36.2,32.00M,1.19%
05/18/2022,36.85,37.42,38.72,36.58,23.75M,-3.84%
05/17/2022,38.32,37,38.87,36.85,44.35M,2.49%
05/16/2022,37.39,39.17,39.29,37.32,51.30M,-8.18%
05/13/2022,40.72,40.35,42,40.02,101.83M,-9.67%
05/12/2022,45.08,45.01,47.47,43.33,35.61M,-2.19%
05/11/2022,46.09,46.95,48.15,45.8,24.62M,-2.48%
05/10/2022,47.26,47.91,48.36,46.5,23.66M,-1.46%
05/09/2022,47.96,49.3,49.44,47.63,37.71M,-3.69%
05/06/2022,49.8,49.96,50.29,49.5,23.45M,-1.11%
05/05/2022,50.36,50.53,51.21,49.81,60.51M,2.65%
05/04/2022,49.06,48.8,49.25,48.34,28.15M,0.39%
05/03/2022,48.87,49.15,49.48,48.75,24.49M,-0.55%
05/02/2022,49.14,48.7,49.76,48.57,32.23M,0.24%
04/29/2022,49.02,49.44,50.22,48.8,38.25M,-0.18%
04/28/2022,49.11,49,49.9,47.97,42.45M,0.97%
04/27/2022,48.64,49.06,49.26,47.82,57.71M,-2.09%
04/26/2022,49.68,51.57,51.62,49.43,113.89M,-3.91%
04/25/2022,51.7,51.02,52.24,50.3,171.20M,5.66%
04/22/2022,48.93,47.83,49.68,47.5,76.50M,3.93%
04/21/2022,47.08,45.51,47.94,45.5,69.50M,0.77%
04/20/2022,46.72,46.34,47.11,45.03,62.71M,1.21%
04/19/2022,46.16,47.3,48.5,45,124.92M,-4.73%
04/18/2022,48.45,46.24,48.73,44.36,148.00M,7.48%
04/14/2022,45.08,48.37,48.5,44.72,258.87M,-1.68%
04/13/2022,45.85,44.8,46.33,44.55,44.13M,3.08%
04/12/2022,44.48,47.03,47.55,44.44,60.51M,-5.38%
04/11/2022,47.01,45.75,47.98,44.71,117.45M,1.69%
04/08/2022,46.23,47.3,48.44,45.83,83.32M,-3.75%
04/07/2022,48.03,50.47,51.64,46.55,120.42M,-5.40%
04/06/2022,50.77,50.03,52.87,49.3,159.03M,-0.41%
04/05/2022,50.98,53.85,54.57,50.56,215.52M,2.02%
04/04/2022,49.97,47.87,51.37,46.86,264.91M,27.12%
04/01/2022,39.31,39.16,39.85,39,12.13M,1.60%
03/31/2022,38.69,39.11,39.23,38.41,13.18M,-0.79%
03/30/2022,39,40.35,40.35,38.57,15.71M,-4.15%
03/29/2022,40.69,39.48,40.96,39.39,17.30M,4.01%
03/28/2022,39.12,38.44,39.29,38.3,13.90M,1.35%
03/25/2022,38.6,38.99,39.47,37.69,20.79M,-0.57%
03/24/2022,38.82,38.33,39.09,38.23,18.16M,2.16%
03/23/2022,38,38,38.75,37.58,12.96M,-1.12%
03/22/2022,38.43,37.64,39.04,37.62,17.15M,2.64%
03/21/2022,37.44,37.7,37.89,36.64,19.15M,-0.87%
03/18/2022,37.77,37.46,39.04,37.18,35.95M,1.26%
03/17/2022,37.3,35.21,37.71,34.89,30.46M,5.46%
03/16/2022,35.37,34.9,35.65,34.32,25.02M,4.12%
03/15/2022,33.97,33.12,34.52,33,14.59M,2.85%
03/14/2022,33.03,32.69,33.95,32.48,17.53M,0.09%
03/11/2022,33,34.04,34.1,32.89,15.75M,-3.28%
03/10/2022,34.12,33.63,34.44,33.37,12.49M,-0.73%
03/09/2022,34.37,33.55,34.53,33.3,16.87M,5.17%
03/08/2022,32.68,32.27,33.83,31.95,17.38M,0.80%
03/07/2022,32.42,33.51,33.88,32.4,19.16M,-2.91%
03/04/2022,33.39,33.75,34.23,32.95,17.54M,-0.30%
03/03/2022,33.49,34.9,35.18,33.45,18.66M,-3.26%
03/02/2022,34.62,35.77,35.77,34.13,18.14M,-2.64%
03/01/2022,35.56,35.51,36.13,34.71,17.89M,0.03%
02/28/2022,35.55,34.95,36.05,34.85,17.68M,0.74%
02/25/2022,35.29,35.12,35.3,34.13,15.39M,0.89%
02/24/2022,34.98,31.3,35.06,31.3,22.38M,6.78%
02/23/2022,32.76,33.25,33.46,32.42,14.89M,-0.52%
02/22/2022,32.93,33.66,33.93,32.75,16.80M,-4.05%
02/18/2022,34.32,35.49,35.66,34.1,15.34M,-3.13%
02/17/2022,35.43,35.99,36.61,35.32,16.29M,-2.24%
02/16/2022,36.24,35.97,36.28,35.52,17.54M,-2.00%
02/15/2022,36.98,36.23,37,36.06,21.28M,3.61%
02/14/2022,35.69,35.62,36.61,35.5,15.03M,-0.42%
02/11/2022,35.84,37.42,37.76,35.66,23.52M,-3.34%
02/10/2022,37.08,36.56,39.1,36.22,47.68M,-1.98%
02/09/2022,37.83,36.5,37.92,36.14,23.90M,5.14%
02/08/2022,35.98,35.52,36.27,35.15,17.19M,-0.17%
02/07/2022,36.04,36.72,37.33,35.9,22.65M,-2.44%
02/04/2022,36.94,35.66,37.44,34.76,23.58M,7.13%
02/03/2022,34.48,33.84,35.18,33.84,31.80M,-5.56%
02/02/2022,36.51,38.29,38.29,36.25,17.52M,-4.22%
02/01/2022,38.12,37.84,38.17,36.87,14.03M,1.63%
01/31/2022,37.51,35.43,37.56,35.34,17.34M,6.35%
01/28/2022,35.27,33.79,35.3,33.6,14.37M,4.23%
01/27/2022,33.84,34.14,35.14,33.81,16.56M,0.65%
01/26/2022,33.62,34.97,35.43,33.26,21.00M,-1.61%
01/25/2022,34.17,34.22,34.99,33.62,18.00M,-2.54%
01/24/2022,35.06,33.7,35.14,32.05,31.30M,0.69%
01/21/2022,34.82,36.9,37.08,34.79,25.67M,-6.60%
01/20/2022,37.28,37.84,39.03,37.19,17.52M,-0.19%
01/19/2022,37.35,37.13,38.28,37.01,19.71M,0.13%
01/18/2022,37.3,37.72,38.2,37.13,14.82M,-2.97%
01/14/2022,38.44,38.43,39.05,37.51,14.85M,-0.67%
01/13/2022,38.7,40.15,40.34,38.61,14.92M,-3.85%
01/12/2022,40.25,40.88,41.48,39.77,10.39M,-1.01%
01/11/2022,40.66,39.79,40.94,39.6,13.65M,1.73%
01/10/2022,39.97,39.33,40.03,38.22,14.90M,0.76%
01/07/2022,39.67,39.65,40.69,39.32,14.67M,0.20%
01/06/2022,39.59,39.5,40.44,38.69,16.35M,0.23%
01/05/2022,39.5,40.8,41.88,39.45,21.80M,-3.30%
01/04/2022,40.85,42.85,42.97,40.36,20.84M,-4.24%
01/03/2022,42.66,43.5,43.69,42.48,14.39M,-1.30%
12/31/2021,43.22,44.34,44.76,43.18,9.83M,-2.79%
12/30/2021,44.46,42.77,45.09,42.63,14.43M,3.98%
12/29/2021,42.76,43.17,43.55,42.56,8.70M,-1.54%
12/28/2021,43.43,44.21,44.78,43.23,8.81M,-2.03%
12/27/2021,44.33,44.21,44.92,44.13,8.58M,0.38%
12/23/2021,44.16,44,44.53,43,8.98M,0.59%
12/22/2021,43.9,44.05,44.56,43.63,10.08M,-1.04%
12/21/2021,44.36,43.23,44.45,42.72,9.45M,3.21%
12/20/2021,42.98,42.37,43.26,41.79,12.16M,-0.21%
12/17/2021,43.07,42.7,44.03,41.63,29.14M,-0.14%
12/16/2021,43.13,44.43,45.03,42.72,12.99M,-2.13%
12/15/2021,44.07,44,44.24,42.74,14.90M,-0.63%
12/14/2021,44.35,44.04,44.69,43.7,10.92M,-0.56%
12/13/2021,44.6,45.55,45.9,43.78,11.56M,-2.11%
12/10/2021,45.56,46.6,46.6,44.97,14.06M,-1.94%
12/09/2021,46.46,47.21,48.22,46.41,25.29M,1.62%
12/08/2021,45.72,44.6,46.2,44.34,18.29M,2.83%
12/07/2021,44.46,45.07,46.34,44.32,21.07M,-0.02%
12/06/2021,44.47,42.11,44.72,41.75,25.52M,5.70%
12/03/2021,42.07,42.82,43.1,41.01,26.13M,-1.36%
12/02/2021,42.65,43.06,43.16,41.75,24.29M,-0.40%
12/01/2021,42.82,44.91,46.5,42.8,33.98M,-2.55%
11/30/2021,43.94,45.51,45.85,43,35.39M,-4.02%
11/29/2021,45.78,51.88,52.27,45.62,71.16M,-2.74%
11/26/2021,47.07,46.64,47.35,46.23,7.84M,-0.95%
11/24/2021,47.52,46.66,47.64,46.16,9.98M,0.81%
11/23/2021,47.14,47.2,47.46,45.97,19.52M,-0.36%
11/22/2021,47.31,48.51,48.55,46.52,26.39M,-2.25%
11/19/2021,48.4,49.12,50.37,48.4,26.16M,-0.41%
11/18/2021,48.6,50.65,50.83,48.46,22.37M,-3.97%
11/17/2021,50.61,52.03,52.14,50.58,16.68M,-2.88%
11/16/2021,52.11,52.86,53,51.88,10.61M,-1.59%
11/15/2021,52.95,52.41,53.91,52.41,21.77M,1.34%
11/12/2021,52.25,52.3,52.81,51.92,13.29M,0.52%
11/11/2021,51.98,52.59,52.84,51.84,13.44M,-0.67%
11/10/2021,52.33,53.25,53.97,51.75,18.71M,-2.55%
11/09/2021,53.7,54.11,54.93,53.15,11.05M,-0.70%
11/08/2021,54.08,53.45,54.32,53.16,9.94M,1.75%
11/05/2021,53.15,54.11,54.18,52.81,13.27M,-0.99%
11/04/2021,53.68,54.58,54.84,53.18,11.17M,-1.56%
11/03/2021,54.53,53.68,54.55,53.1,9.68M,1.00%
11/02/2021,53.99,55.04,55.08,53.78,11.37M,-2.03%
11/01/2021,55.11,53.56,55.33,53.41,13.56M,2.93%
10/29/2021,53.54,54.01,54.48,53.15,14.83M,-1.38%
10/28/2021,54.29,55.08,55.64,53.89,22.21M,-0.95%
